0,1,2,3
sulfasalazine,A07EC01,D051550,D051550
sulfasalazine,A07EC01,9606.ENSP00000228740,LTA4H
sulfasalazine,A07EC01,9606.ENSP00000251535,ALOX12
sulfasalazine,A07EC01,9606.ENSP00000263339,IL1A
sulfasalazine,A07EC01,9606.ENSP00000263341,IL1B
sulfasalazine,A07EC01,9606.ENSP00000264497,IL21
sulfasalazine,A07EC01,9606.ENSP00000281620,ATP8A2
sulfasalazine,A07EC01,9606.ENSP00000294983,ZCYTO10
sulfasalazine,A07EC01,9606.ENSP00000294984,ST16
sulfasalazine,A07EC01,9606.ENSP00000296870,IL3
sulfasalazine,A07EC01,9606.ENSP00000302924,IL17D
sulfasalazine,A07EC01,9606.ENSP00000302935,IL16
sulfasalazine,A07EC01,9606.ENSP00000303231,IL12A
sulfasalazine,A07EC01,9606.ENSP00000306512,IL8
sulfasalazine,A07EC01,9606.ENSP00000319435,ENSP00000319435
sulfasalazine,A07EC01,9606.ENSP00000328111,IL17E
sulfasalazine,A07EC01,9606.ENSP00000329384,IL22
sulfasalazine,A07EC01,9606.ENSP00000329991,IL29
sulfasalazine,A07EC01,9606.ENSP00000333639,IL28A
sulfasalazine,A07EC01,9606.ENSP00000337432,IL17F
sulfasalazine,A07EC01,9606.ENSP00000338300,IL19
sulfasalazine,A07EC01,9606.ENSP00000344192,IL17
sulfasalazine,A07EC01,9606.ENSP00000344419,MPO
sulfasalazine,A07EC01,9606.ENSP00000347165,IL28B
sulfasalazine,A07EC01,9606.ENSP00000349365,ENSP00000349365
sulfasalazine,A07EC01,D007378,D007378
sulfasalazine,A07EC01,9606.ENSP00000008180,IL32
sulfasalazine,A07EC01,9606.ENSP00000204566,SPG21
sulfasalazine,A07EC01,9606.ENSP00000221847,EBI3
sulfasalazine,A07EC01,9606.ENSP00000228534,IL23A
sulfasalazine,A07EC01,9606.ENSP00000229134,IL26
sulfasalazine,A07EC01,9606.ENSP00000229681,TNF
sulfasalazine,A07EC01,9606.ENSP00000231449,IL4
sulfasalazine,A07EC01,9606.ENSP00000244241,IL17C
sulfasalazine,A07EC01,9606.ENSP00000258743,IL6
sulfasalazine,A07EC01,9606.ENSP00000259205,IL1F9
sulfasalazine,A07EC01,9606.ENSP00000259211,IL1F6
sulfasalazine,A07EC01,9606.ENSP00000259212,IL1F5
sulfasalazine,A07EC01,9606.ENSP00000259213,IL1F8
sulfasalazine,A07EC01,9606.ENSP00000259562,NFHEV
sulfasalazine,A07EC01,9606.ENSP00000261796,IL17B
sulfasalazine,A07EC01,9606.ENSP00000262947,IL25
sulfasalazine,A07EC01,9606.ENSP00000263326,IL1F7
sulprostone,G02AD05,9606.ENSP00000345004,PTGER3
sulprostone,G02AD05,9606.ENSP00000195455,AC1
sulprostone,G02AD05,9606.ENSP00000254235,ADCY7
sulprostone,G02AD05,9606.ENSP00000264672,ADCY2
sulprostone,G02AD05,9606.ENSP00000286355,ADCY8
sulprostone,G02AD05,9606.ENSP00000294016,ADCY9
sulprostone,G02AD05,9606.ENSP00000297323,ADCY1
sulprostone,G02AD05,9606.ENSP00000311405,ADCY6
sulprostone,G02AD05,9606.ENSP00000312126,ADCY4
sulprostone,G02AD05,9606.ENSP00000355401,ENSP00000355401
sulprostone,G02AD05,D000262,D000262
montelukast,R03DC03,9606.ENSP00000265455,ALOX5
montelukast,R03DC03,9606.ENSP00000267425,LTB4R2
montelukast,R03DC03,9606.ENSP00000282018,CYSLTR2
montelukast,R03DC03,9606.ENSP00000312492,CYSLTR1
montelukast,R03DC03,D018077,D018077
montelukast,R03DC03,9606.ENSP00000231449,IL4
montelukast,R03DC03,9606.ENSP00000231454,IL5
montelukast,R03DC03,9606.ENSP00000302234,CCL11
montelukast,R03DC03,D015847,D015847
iloprost,B01AC11,9606.ENSP00000291294,PTGIR
iloprost,B01AC11,9606.ENSP00000292513,PTGER1
iloprost,B01AC11,9606.ENSP00000195455,AC1
iloprost,B01AC11,9606.ENSP00000254235,ADCY7
iloprost,B01AC11,9606.ENSP00000260600,KIAA0511
iloprost,B01AC11,9606.ENSP00000264672,ADCY2
iloprost,B01AC11,9606.ENSP00000286355,ADCY8
iloprost,B01AC11,9606.ENSP00000294016,ADCY9
iloprost,B01AC11,9606.ENSP00000297323,ADCY1
iloprost,B01AC11,9606.ENSP00000308685,ADCY5
iloprost,B01AC11,9606.ENSP00000311405,ADCY6
iloprost,B01AC11,9606.ENSP00000312126,ADCY4
iloprost,B01AC11,D000262,D000262
iloprost,B01AC11,9606.ENSP00000075232,EDN1
iloprost,B01AC11,9606.ENSP00000226524,PF4V1
iloprost,B01AC11,9606.ENSP00000228740,LTA4H
iloprost,B01AC11,9606.ENSP00000296028,PPBP
iloprost,B01AC11,9606.ENSP00000296029,PF4
iloprost,B01AC11,9606.ENSP00000302237,GNAS
iloprost,B01AC11,9606.ENSP00000355401,ENSP00000355401
iloprost,B01AC11,D001094,D001094
iloprost,B01AC11,D010978,D010978
iloprost,B01AC11,D019205,D019205
eptifibatide,B01AC16,9606.ENSP00000262407,ITGA2B
acipimox,C10AD06,9606.ENSP00000227665,APOA5
acipimox,C10AD06,9606.ENSP00000227666,ENSP00000227666
acipimox,C10AD06,9606.ENSP00000227667,ENSP00000227667
acipimox,C10AD06,9606.ENSP00000229690,APOM
acipimox,C10AD06,9606.ENSP00000233242,APOB
acipimox,C10AD06,9606.ENSP00000236850,ENSP00000236850
acipimox,C10AD06,9606.ENSP00000251424,CFHL4
acipimox,C10AD06,9606.ENSP00000252486,APOE
acipimox,C10AD06,9606.ENSP00000252489,APOC4
acipimox,C10AD06,9606.ENSP00000252491,APOC1
acipimox,C10AD06,9606.ENSP00000289906,APOA2
acipimox,C10AD06,9606.ENSP00000303529,APOL6
acipimox,C10AD06,9606.ENSP00000317674,APOL1
acipimox,C10AD06,9606.ENSP00000344577,APOL3
acipimox,C10AD06,9606.ENSP00000345179,APOD
acipimox,C10AD06,9606.ENSP00000350425,APOA4
acipimox,C10AD06,9606.ENSP00000352471,ENSP00000352471
acipimox,C10AD06,9606.ENSP00000353540,ENSP00000353540
acipimox,C10AD06,D001053,D001053
acipimox,C10AD06,D001054,D001054
acipimox,C10AD06,D008076,D008076
alcuronium,M03AA01,9606.ENSP00000306490,CHRM1
alcuronium,M03AA01,9606.ENSP00000319984,CHRM2
alcuronium,M03AA01,D011976,D011976
lornoxicam,M01AC05,9606.ENSP00000260682,CYP2C9
diosmetin,,9606.ENSP00000224356,CYP26A1
diosmetin,,9606.ENSP00000228606,CYP27B1
diosmetin,,9606.ENSP00000244043,PTGIS
diosmetin,,9606.ENSP00000252945,CYP2E1
diosmetin,,9606.ENSP00000257149,CYP2J2
diosmetin,,9606.ENSP00000258415,CYP27A1
diosmetin,,9606.ENSP00000260433,CYP19A1
diosmetin,,9606.ENSP00000260630,CYP1B1
diosmetin,,9606.ENSP00000261835,CYP46A1
diosmetin,,9606.ENSP00000264278,CYP20A1
diosmetin,,9606.ENSP00000268053,CYP11A1
diosmetin,,9606.ENSP00000271153,CYP4B1
diosmetin,,9606.ENSP00000274118,ENSP00000274118
diosmetin,,9606.ENSP00000275016,CYP39A1
diosmetin,,9606.ENSP00000278017,CYP17A1
diosmetin,,9606.ENSP00000285949,CYP26C1
diosmetin,,9606.ENSP00000285979,CYP2C18
diosmetin,,9606.ENSP00000292414,CYP3A7
diosmetin,,9606.ENSP00000294337,CYP4A22
diosmetin,,9606.ENSP00000294342,ENSP00000294342
diosmetin,,9606.ENSP00000301141,CYP2A6
diosmetin,,9606.ENSP00000301146,CYP2A7
diosmetin,,9606.ENSP00000301173,CYP2S1
diosmetin,,9606.ENSP00000301645,CYP7A1
diosmetin,,9606.ENSP00000303875,CYP21A2
diosmetin,,9606.ENSP00000310149,CYP2W1
diosmetin,,9606.ENSP00000310721,CYP7B1
diosmetin,,9606.ENSP00000311095,CYP4A11
diosmetin,,9606.ENSP00000314398,CYP4F8
diosmetin,,9606.ENSP00000318867,CYP8B1
diosmetin,,9606.ENSP00000321821,CYP4F12
diosmetin,,9606.ENSP00000324648,CYP2B6
diosmetin,,9606.ENSP00000325822,CYP11B2
diosmetin,,9606.ENSP00000330650,ENSP00000330650
diosmetin,,9606.ENSP00000332679,CYP2A13
diosmetin,,9606.ENSP00000333212,CYP2U1
diosmetin,,9606.ENSP00000333534,CYP2F1
diosmetin,,9606.ENSP00000333946,COQ6
diosmetin,,9606.ENSP00000334246,CYP4Z1
diosmetin,,9606.ENSP00000334592,CYP2R1
diosmetin,,9606.ENSP00000334954,CYP4X1
diosmetin,,9606.ENSP00000337915,CYP3A4
diosmetin,,9606.ENSP00000342007,CYP1A2
diosmetin,,9606.ENSP00000343074,ENSP00000343074
diosmetin,,9606.ENSP00000346110,CYP2G1P
diosmetin,,9606.ENSP00000346625,CYP2D6
diosmetin,,9606.ENSP00000347006,ENSP00000347006
diosmetin,,9606.ENSP00000003100,CYP51A1
diosmetin,,9606.ENSP00000216862,CYP24A1
diosmetin,,9606.ENSP00000221307,CYP4F3
diosmetin,,9606.ENSP00000221700,CYP4F2
diosmetin,,9606.ENSP00000222382,CYP3A43
diosmetin,,9606.ENSP00000222982,CYP3A5
diosmetin,,9606.ENSP00000268062,CYP1A1
diosmetin,,D019363,D019363
dacarbazine,L01AX04,9606.ENSP00000252945,CYP2E1
dacarbazine,L01AX04,9606.ENSP00000268062,CYP1A1
dacarbazine,L01AX04,D019363,D019363
dacarbazine,L01AX04,D019392,D019392
4-methylumbelliferone,A05AX02,9606.ENSP00000002596,HS3ST1
4-methylumbelliferone,A05AX02,9606.ENSP00000222002,SULT2A1
4-methylumbelliferone,A05AX02,9606.ENSP00000226444,SULT1E1
4-methylumbelliferone,A05AX02,9606.ENSP00000242466,CHST3
4-methylumbelliferone,A05AX02,9606.ENSP00000252455,PRKCSH
4-methylumbelliferone,A05AX02,9606.ENSP00000258711,CHST12
4-methylumbelliferone,A05AX02,9606.ENSP00000259241,HS6ST1
4-methylumbelliferone,A05AX02,9606.ENSP00000259845,PSORS1C2
4-methylumbelliferone,A05AX02,9606.ENSP00000260128,SULF1
4-methylumbelliferone,A05AX02,9606.ENSP00000260637,SULT6B1
4-methylumbelliferone,A05AX02,9606.ENSP00000261797,ENSP00000261797
4-methylumbelliferone,A05AX02,9606.ENSP00000262622,CHST8
4-methylumbelliferone,A05AX02,9606.ENSP00000264162,LCT
4-methylumbelliferone,A05AX02,9606.ENSP00000264249,CHST10
4-methylumbelliferone,A05AX02,9606.ENSP00000264363,NDST4
4-methylumbelliferone,A05AX02,9606.ENSP00000265363,UST
4-methylumbelliferone,A05AX02,9606.ENSP00000272452,SULT1C2
4-methylumbelliferone,A05AX02,9606.ENSP00000276055,CHST7
4-methylumbelliferone,A05AX02,9606.ENSP00000284064,HS2ST1
4-methylumbelliferone,A05AX02,9606.ENSP00000284224,CHST9
4-methylumbelliferone,A05AX02,9606.ENSP00000293937,HS3ST6
4-methylumbelliferone,A05AX02,9606.ENSP00000299641,NDST2
4-methylumbelliferone,A05AX02,9606.ENSP00000302413,TPST1
4-methylumbelliferone,A05AX02,9606.ENSP00000304811,UGT2B7
4-methylumbelliferone,A05AX02,9606.ENSP00000305725,CHST11
4-methylumbelliferone,A05AX02,9606.ENSP00000307297,D4ST1
4-methylumbelliferone,A05AX02,9606.ENSP00000307911,CHST2
4-methylumbelliferone,A05AX02,9606.ENSP00000308770,SULT1B1
4-methylumbelliferone,A05AX02,9606.ENSP00000309020,AGL
4-methylumbelliferone,A05AX02,9606.ENSP00000309270,CHST1
4-methylumbelliferone,A05AX02,9606.ENSP00000314501,GBA3
4-methylumbelliferone,A05AX02,9606.ENSP00000314508,GBA
4-methylumbelliferone,A05AX02,9606.ENSP00000315348,3OST5
4-methylumbelliferone,A05AX02,9606.ENSP00000316431,MGAM
4-methylumbelliferone,A05AX02,9606.ENSP00000317404,CHST13
4-methylumbelliferone,A05AX02,9606.ENSP00000319622,SULT1C1
4-methylumbelliferone,A05AX02,9606.ENSP00000320297,GBA2
4-methylumbelliferone,A05AX02,9606.ENSP00000320318,NEU4
4-methylumbelliferone,A05AX02,9606.ENSP00000321988,ENSP00000321988
4-methylumbelliferone,A05AX02,9606.ENSP00000321990,ENSP00000321990
4-methylumbelliferone,A05AX02,9606.ENSP00000324617,HS6ST2
4-methylumbelliferone,A05AX02,9606.ENSP00000328983,CHST6
4-methylumbelliferone,A05AX02,9606.ENSP00000330606,HS3ST4
4-methylumbelliferone,A05AX02,9606.ENSP00000332565,SULT4A1
4-methylumbelliferone,A05AX02,9606.ENSP00000338742,SULT1A2
4-methylumbelliferone,A05AX02,9606.ENSP00000338783,CHST5
4-methylumbelliferone,A05AX02,9606.ENSP00000341206,CHST4
4-methylumbelliferone,A05AX02,9606.ENSP00000343234,GAL3ST1
4-methylumbelliferone,A05AX02,9606.ENSP00000346310,GAA
4-methylumbelliferone,A05AX02,9606.ENSP00000353142,GAL3ST4
4-methylumbelliferone,A05AX02,D005959,D005959
remikiren,C09XA01,9606.ENSP00000272190,ENSP00000272190
tolcapone,N04BX01,9606.ENSP00000207636,COMT
hydroxocobalamin,B03BA03 V03AB33,9606.ENSP00000215838,TCN2
rosuvastatin,C10AA07,9606.ENSP00000256958,SLCO1B1
rosuvastatin,C10AA07,9606.ENSP00000036971,PEX3
rosuvastatin,C10AA07,9606.ENSP00000196805,ZMPSTE24
rosuvastatin,C10AA07,9606.ENSP00000223298,ENSP00000223298
rosuvastatin,C10AA07,9606.ENSP00000227665,APOA5
rosuvastatin,C10AA07,9606.ENSP00000227666,ENSP00000227666
rosuvastatin,C10AA07,9606.ENSP00000229690,APOM
rosuvastatin,C10AA07,9606.ENSP00000233242,APOB
rosuvastatin,C10AA07,9606.ENSP00000236850,ENSP00000236850
rosuvastatin,C10AA07,9606.ENSP00000251424,CFHL4
rosuvastatin,C10AA07,9606.ENSP00000252486,APOE
rosuvastatin,C10AA07,9606.ENSP00000252489,APOC4
rosuvastatin,C10AA07,9606.ENSP00000252491,APOC1
rosuvastatin,C10AA07,9606.ENSP00000260645,ABCG5
rosuvastatin,C10AA07,9606.ENSP00000265634,NPTX2
rosuvastatin,C10AA07,9606.ENSP00000289906,APOA2
rosuvastatin,C10AA07,9606.ENSP00000297494,ENSP00000297494
rosuvastatin,C10AA07,9606.ENSP00000303529,APOL6
rosuvastatin,C10AA07,9606.ENSP00000307549,NPTX1
rosuvastatin,C10AA07,9606.ENSP00000311037,APOF
rosuvastatin,C10AA07,9606.ENSP00000313088,NETO1
rosuvastatin,C10AA07,9606.ENSP00000317674,APOL1
rosuvastatin,C10AA07,9606.ENSP00000319435,ENSP00000319435
rosuvastatin,C10AA07,9606.ENSP00000321334,LPA
rosuvastatin,C10AA07,9606.ENSP00000327545,NPTXR
rosuvastatin,C10AA07,9606.ENSP00000344577,APOL3
rosuvastatin,C10AA07,9606.ENSP00000345179,APOD
rosuvastatin,C10AA07,9606.ENSP00000350425,APOA4
rosuvastatin,C10AA07,9606.ENSP00000352471,ENSP00000352471
rosuvastatin,C10AA07,9606.ENSP00000353540,ENSP00000353540
rosuvastatin,C10AA07,D001054,D001054
rosuvastatin,C10AA07,D002097,D002097
rosuvastatin,C10AA07,D008074,D008074
rosuvastatin,C10AA07,D008076,D008076
ergometrine,G02AB03,9606.ENSP00000280155,ADRA2A
ergometrine,G02AB03,9606.ENSP00000320944,ADRA2B
ergometrine,G02AB03,D018341,D018341
misoprostol,A02BB01,9606.ENSP00000241946,PTGFR
misoprostol,A02BB01,9606.ENSP00000245457,ENSP00000245457
misoprostol,A02BB01,9606.ENSP00000248419,TBXA2R
misoprostol,A02BB01,9606.ENSP00000292513,PTGER1
misoprostol,A02BB01,9606.ENSP00000345004,PTGER3
misoprostol,A02BB01,D018078,D018078
adrafinil,N06BX17,9606.ENSP00000303199,ADRA1D
adrafinil,N06BX17,9606.ENSP00000306662,ADRA1B
adrafinil,N06BX17,D018340,D018340
thioguanine,,9606.ENSP00000216367,POLE2
thioguanine,,9606.ENSP00000217800,POLI
thioguanine,,9606.ENSP00000223361,POLD2
thioguanine,,9606.ENSP00000262266,POLD1
thioguanine,,9606.ENSP00000263073,EST1A
thioguanine,,9606.ENSP00000263681,POLD3
thioguanine,,9606.ENSP00000263698,RPA2
thioguanine,,9606.ENSP00000264233,ENSP00000264233
thioguanine,,9606.ENSP00000265421,POLB
thioguanine,,9606.ENSP00000268124,POLG
thioguanine,,9606.ENSP00000277334,POLE3
thioguanine,,9606.ENSP00000306591,XPV
thioguanine,,9606.ENSP00000308908,GPR148
thioguanine,,9606.ENSP00000309572,TERT
thioguanine,,9606.ENSP00000312304,TPMT
thioguanine,,9606.ENSP00000314415,POLA
thioguanine,,9606.ENSP00000322570,POLE
thioguanine,,9606.ENSP00000335141,POLM
thioguanine,,9606.ENSP00000353425,DINB1
thioguanine,,D004256,D004256
thioguanine,,D004259,D004259
thioguanine,,9606.ENSP00000355367,HPRT1
methimazole,H03BB02,9606.ENSP00000209929,ENSP00000209929
methimazole,H03BB02,9606.ENSP00000325815,FMO1
methimazole,H03BB02,9606.ENSP00000329869,ENSP00000329869
methimazole,H03BB02,9606.ENSP00000344419,MPO
methimazole,H03BB02,9606.ENSP00000352273,DIO3
methimazole,H03BB02,9606.ENSP00000355248,DIO1
methimazole,H03BB02,9606.ENSP00000355413,DIO2
methimazole,H03BB02,D007453,D007453
methimazole,H03BB02,9606.ENSP00000220616,TG
benzylthiouracil,H03BA03,9606.ENSP00000352279,ECGF1
benzylthiouracil,H03BA03,D013939,D013939
mercaptopurine,L01BB02,9606.ENSP00000312304,TPMT
picotamide,B01AC03,9606.ENSP00000248419,TBXA2R
picotamide,B01AC03,9606.ENSP00000338087,TBXAS1
picotamide,B01AC03,D013930,D013930
picotamide,B01AC03,9606.ENSP00000296028,PPBP
propylthiouracil,H03BA02,9606.ENSP00000225371,EPX
propylthiouracil,H03BA02,9606.ENSP00000236251,AOP2
propylthiouracil,H03BA02,9606.ENSP00000262290,LPO
propylthiouracil,H03BA02,9606.ENSP00000329869,ENSP00000329869
propylthiouracil,H03BA02,9606.ENSP00000344419,MPO
propylthiouracil,H03BA02,9606.ENSP00000352273,DIO3
propylthiouracil,H03BA02,9606.ENSP00000355413,DIO2
propylthiouracil,H03BA02,D007453,D007453
propylthiouracil,H03BA02,D009195,D009195
propylthiouracil,H03BA02,9606.ENSP00000249842,ISLR
propylthiouracil,H03BA02,9606.ENSP00000254801,IGJ
propylthiouracil,H03BA02,9606.ENSP00000262078,CD83
propylthiouracil,H03BA02,9606.ENSP00000262661,GPX7
propylthiouracil,H03BA02,9606.ENSP00000263100,A1BG
propylthiouracil,H03BA02,9606.ENSP00000264542,HHLA2
propylthiouracil,H03BA02,9606.ENSP00000266556,TAPBPL
propylthiouracil,H03BA02,9606.ENSP00000268389,IGSF6
propylthiouracil,H03BA02,9606.ENSP00000273395,ENSP00000273395
propylthiouracil,H03BA02,9606.ENSP00000286089,VSIG4
propylthiouracil,H03BA02,9606.ENSP00000288332,GPX3
propylthiouracil,H03BA02,9606.ENSP00000295718,PTPRN
propylthiouracil,H03BA02,9606.ENSP00000303729,ENSP00000303729
propylthiouracil,H03BA02,9606.ENSP00000304415,ICA1
propylthiouracil,H03BA02,9606.ENSP00000304590,VPREB1
propylthiouracil,H03BA02,9606.ENSP00000312968,GPX2
propylthiouracil,H03BA02,9606.ENSP00000316340,IGSF4B
propylthiouracil,H03BA02,9606.ENSP00000317172,IGHE
propylthiouracil,H03BA02,9606.ENSP00000321245,IGSF1
propylthiouracil,H03BA02,9606.ENSP00000327786,ENSP00000327786
propylthiouracil,H03BA02,9606.ENSP00000329312,IGLL1
propylthiouracil,H03BA02,9606.ENSP00000330500,IGSF4
propylthiouracil,H03BA02,9606.ENSP00000332951,ENSP00000332951
propylthiouracil,H03BA02,9606.ENSP00000338969,GPX5
propylthiouracil,H03BA02,9606.ENSP00000342521,KIRREL2
propylthiouracil,H03BA02,9606.ENSP00000345505,IGSF3
propylthiouracil,H03BA02,9606.ENSP00000346103,GPX4
propylthiouracil,H03BA02,9606.ENSP00000346203,MADCAM1
propylthiouracil,H03BA02,9606.ENSP00000347453,GPX1
propylthiouracil,H03BA02,9606.ENSP00000347480,IGLC1
propylthiouracil,H03BA02,9606.ENSP00000349925,MAMDC1
propylthiouracil,H03BA02,9606.ENSP00000351857,TRNP48
propylthiouracil,H03BA02,9606.ENSP00000352938,HHLA3
propylthiouracil,H03BA02,9606.ENSP00000354581,ENSP00000354581
propylthiouracil,H03BA02,D000974,D000974
propylthiouracil,H03BA02,D005979,D005979
propylthiouracil,H03BA02,D007136,D007136
propylthiouracil,H03BA02,9606.ENSP00000006750,CD79B
propylthiouracil,H03BA02,9606.ENSP00000198587,IGSF9
propylthiouracil,H03BA02,9606.ENSP00000211373,LY6G6D
propylthiouracil,H03BA02,9606.ENSP00000220616,TG
propylthiouracil,H03BA02,9606.ENSP00000221972,CD79A
propylthiouracil,H03BA02,9606.ENSP00000222374,IGSF4C
deferiprone,V03AC02,9606.ENSP00000263258,FTL
deferiprone,V03AC02,9606.ENSP00000264998,PRO1400
deferiprone,V03AC02,9606.ENSP00000307530,FTLL1
deferiprone,V03AC02,9606.ENSP00000341714,ENSP00000341714
deferiprone,V03AC02,9606.ENSP00000351801,ENSP00000351801
deferiprone,V03AC02,D005293,D005293
deferiprone,V03AC02,D014168,D014168
ciclesonide,R03BA08,9606.ENSP00000231509,NR3C1
adenosylcobalamin,B03BA04,9606.ENSP00000266839,MMAB
hydrocodone,R05DA03,9606.ENSP00000265572,OPRK1
hydrocodone,R05DA03,9606.ENSP00000277010,OPRS1
hydrocodone,R05DA03,9606.ENSP00000290291,OGFR
hydrocodone,R05DA03,9606.ENSP00000336764,OPRL1
hydrocodone,R05DA03,9606.ENSP00000346625,CYP2D6
hydrocodone,R05DA03,D011957,D011957
hydrocodone,R05DA03,D019389,D019389
lanreotide,H01CB03,9606.ENSP00000350198,SSTR2
lanreotide,H01CB03,9606.ENSP00000293897,SSTR5
lanreotide,H01CB03,9606.ENSP00000330138,SSTR3
melagatran,B01AE04,9606.ENSP00000308541,ENSP00000308541
melagatran,B01AE04,D013917,D013917
fondaparinux sodium,B01AX05,9606.ENSP00000236260,SERPINC1
fondaparinux sodium,B01AX05,D000990,D000990
fondaparinux sodium,B01AX05,D005170,D005170
fondaparinux sodium,B01AX05,D015951,D015951
fondaparinux sodium,B01AX05,9606.ENSP00000261967,F7
fondaparinux sodium,B01AX05,D005167,D005167
colesevelam hydrochloride,C10AC04,D008078,D008078
xamoterol,C01CX07,9606.ENSP00000195455,AC1
xamoterol,C01CX07,9606.ENSP00000254235,ADCY7
xamoterol,C01CX07,9606.ENSP00000260600,KIAA0511
xamoterol,C01CX07,9606.ENSP00000264672,ADCY2
xamoterol,C01CX07,9606.ENSP00000286355,ADCY8
